instrument_name,panel,cell,description,manufacturer,intern_calib,model,serial,units,last_calib,due_calib,po,cost,recv_date,certified,assigned_to,status,notes
05IE-2053,05TE-0492,A421,POWER SUPPLY DC,BK PRECISION,FALSE,9129B,0707410084,0 A 30 DC,8/15/2022,8/31/2023,nan,,8/16/2015,TRUE,SUP. REFRIGERAC,ACTIVO,EXT-PLANTA
05IE-2054,05IE-2054,MAP/PEAK,AC POWER SUPPLY,BK PRECISION,FALSE,9801,46K15118,0 300 VAC,11/1/2022,11/30/2023,nan,,11/1/2016,TRUE,MAP/PEAK,ACTIVO,EXT-PLT
05IE-2055,05IE-2055,LARGO/BLUTHOO,AC POWER SUPPLY,BK PRECISION,FALSE,9801,0716920001,0 A 300 VAC,3/1/2023,3/31/2024,nan,,3/1/2016,TRUE,SUP.REFRIGERACI,ACTIVO,EXT-LAB
05IE-2056,05IE-2056,RDR8/ELINK/BLUETOOTH,AC POWER SUPPLY,BK PRECISION,FALSE,9801,0716720002,0 A 300 VAC,1/26/2023,1/31/2024,nan,,1/16/2017,TRUE,SUP. FEC NPI,ACTIVO,EXTERNO-PLANTA
06AF-0016,06AF-0016,GAVETA DE METROLOGIA,DIG. MICROMETRO,MITUTOYO,TRUE,293-721-10,166851,"0 1""",10/1/2022,10/31/2023,nan,,10/10/2010,TRUE,SUP.METROLOGIA,ACTIVO,INTERNO
06ZI-0034,06ZI-0034,V-11,PIEZA MASTER PRODUCCION CAJITA AMARILLA,JCI,TRUE,nan,nan,".4418 TO .5176 ± .10""",12/1/2022,12/31/2023,nan,,10/10/2010,TRUE,SUP. V-11,ACTIVO,INTERNO
06AA-0072,06AA-0072,INSP-ENTRADA,DIG. MICROMETRO,MITUTOYO,TRUE,293-721-30,4139240,"0 A 1""",1/18/2023,1/31/2024,nan,,10/10/2010,TRUE,SUP.INSP-ENTRA,ACTIVO,INTERNO
05NE-5415,05NE-5415,RDR8/ELINK/BLUETOOTH,DATA ADQUISITION SW,KEYSIGHT,FALSE,34970A,MY44092007,nan,1/18/2023,1/31/2024,nan,,1/18/2017,TRUE,SUP. REFRIG,ACTIVO,EXT-PLANTA T
03CV-0059,05TV-0020,VG-7000,MASFLOWMETER,OMEGA,TRUE,FMA-A2300,nan,0 A 10 SCIM,6/1/2022,6/30/2023,nan,,6/1/2016,TRUE,SUP. VG-7000,ACTIVO,INTERNO
06LF-1055,06LF-1055,PLASTICOS,TH. PLUGGAGE,VERMONT GAGE,TRUE,nan,nan,1/2-14 NSPM 2B,4/1/2021,4/30/2023,nan,,4/1/2016,TRUE,SUP. PLASTICOS,ACTIVO,INTERNO
01KE-0355,01KE-0355,GAVETA SMT,DATAPAQ-PERFILADOR,KIC-EXPLORER,FALSE,X5,XF-000464,nan,1/20/2023,1/31/2024,nan,,2/20/2017,TRUE,SUP.SMT,ACTIVO,EXT-LAB
05ZE-0173,05ZE-0173,ALMACEN SPLITE LINE,CONTADORA DE RESISTENCIA,V-TEK,FALSE,VERSA COUN,2015000285,nan,2/20/2023,2/28/2024,nan,,2/20/2017,TRUE,SUP. JAULA S.L.,ACTIVO,EXT-PLT
02EE-0225,05-TE-0515,IPVMA / CVM,TORQUEMETER,nan,FALSE,nan,nan,0-250 LBS,2/21/2023,2/21/2024,nan,,2/21/2017,TRUE,SUP. ACTUADORES,ACTIVO,EXT-PLT
06LV-0987,06LV-0987,TRUNION,THD. PLUG GAGE,nan,TRUE,nan,nan,.1697 GO NO GO .1736,8/22/2021,8/31/2023,nan,,2/21/2017,TRUE,SUP. MAQ. TRUNI,ACTIVO,INTERNO CALIBRADO 08/21
06LV-0988,06LV-0988,TRUNION\,THD. PLUG GAGE,PMC IND.,TRUE,nan,nan,.1177 GO  .,,,nan,,2/21/2017,TRUE,SUP. TRUNION,INACTIVO,INTERNO-DAÑADO
06LA-0019,06LA-0019,INSPECCION,THD. PLUG GAGE,GAGE ASSEMBLY,TRUE,nan,nan,GO 0.8389 NO GO 0.8449,7/1/2022,7/31/2024,nan,,7/1/2016,TRUE,INSPECCION,ACTIVO,INTERNO
07CI-0021,07CI-0021,NEWMATICOS,BAÑO DE TEMP.,NESLAB,TRUE,RTE-221,197309259,0 A 200°C,,,nan,,2/28/2017,TRUE,SUP. NEWMATICOS,INACTIVO,DAÑADO
07CI-0025,07CI-0025,AVERAGES,BAñO DE TEMP,NESLAB,TRUE,RTE-221,198147084,0 A 200°C,,,nan,,2/1/2017,TRUE,SUP. SENSORES,INACTIVO,DAÑADO
02ee-0226,02EE-0226,ACTUADORES,TORQUEMETER,RED LION,FALSE,PAX,nan,0 A 200 LBS,,,nan,,2/20/2017,TRUE,SUP. ACTUADORES,INACTIVO,INTERNO
02EE-0227,02EE-0227,M-9208,CELDA DE FUERZA,RED LION,FALSE,PAX,nan,0 A 200 LBS,2/20/2023,2/28/2024,nan,,2/20/2017,TRUE,SUP. ACTUADORES,ACTIVO,EXT-PLT
02EE-0228,02EE-0228,ACTUADORES,CELDA DE FUERZA,RED LION,FALSE,PAX,nan,0 A 200 LBS,,,nan,,2/20/2017,TRUE,SUP. ACTUADORES,INACTIVO,INTERNO
06LA-0011,06LA-0011,INSP-ENTRADA,THD. PLUG GAGE,GACO,FALSE,nan,nan,5/16 -22 UNS2B,10/1/2022,10/31/2024,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
01KI-1011,01KI-1011,SENSORES0,0000000,EXTECH,FALSE,RH350,9383037,nan,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP.SENSORES,ACTIVO,EXT-PLT T
06QA-0009,06QA-0009,INSP-ENTRADA,THD. RING GAGE,G.A.CO,FALSE,nan,nan,1/4-20UNC-3A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP.ENTRA,ACTIVO,EXT-LAB
06QA-0010,06QA-0010,INSP.ENTRADA,THD. RING GAGE,GA.CO,FALSE,nan,nan,1/4-40UNS-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QA-0011,06QA-0011,INSP-ENT,THD. RING GAGE,G.A.CO,FALSE,nan,nan,5/16-18UNC-2A,12/1/2022,12/31/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENT,ACTIVO,EXT-LAB
06QA-0014,06QA-0014,INSP. ENTRADA,THD. RING GAGE,GA.CO,FALSE,nan,nan,5/8-18UNF-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP.ENTRA,ACTIVO,EXT-LAB
06QA-0015,06QA-0015,INSP-ENTRADA,THD. RING GAGE,GA.CO,FALSE,nan,nan,3/4-16UNF-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSPECCION,ACTIVO,EXT-LAB
05II-1045,05II-1045,OPTIVIW,POWER SOURCE,KEITLEY,FALSE,2400,651193,nan,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP.PANELES,ACTIVO,EXT-PLT
05NI-0003,05NI-0003,EP-8000,MULTIMETRO DIG,FLUKE,FALSE,8010A,2122170,nan,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP.NEWMATICOS,ACTIVO,EXT-PLT T
05NI-1001,05NI-1001,EPT,MULTIMETRO DIG.,FLUKE,FALSE,8600A,2535205,nan,11/1/2017,11/30/2018,nan,,10/10/2010,TRUE,SUP. EPT,INACTIVO,EXTERNO
05NI-1035,05NI-1035,ONE TO ONE,DATA ADQUISITION,AGILENT,FALSE,34970A,MY44015017,nan,11/1/2021,,nan,,10/10/2010,TRUE,SUP. SENSORES,INACTIVO,EXT-DAÑADO RACK DE INACTIVOS
06CL-0008,06CL-0008,SUSTAINING,DIGITAL FORCE GAGE,CHATILLON,TRUE,DRC 100,nan,0 100 LBS,,,nan,,10/10/2010,TRUE,SUP. SUSTAINING,INACTIVO,INTERNO
06QA-0017,06QA-0017,INSP-ENTRADA,THD.RING GAGE,GA.CO,FALSE,nan,nan,9/16-18UNF-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QA-0018,06QA-0018,INSP-ENTRADA,THD. RING GAGE,GA.CO,FALSE,nan,nan,1 1/8-18UNEF-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QA-0027,06QA-0027,INSP-ENTRADA,THREAD RING GAGE,GA.CO,FALSE,nan,nan,1/2-20UNF-2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QI-0067,06QI-0067,INSP-ENTRADA,THREAD RING GAGE,GA.CO,FALSE,nan,nan,5/16-30UNS,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QI-0068,06QI-0068,INSP-ENTRADA,THD. RING 5/16-30 UNS,GA.CO,FALSE,nan,nan,5/16-30 UNS,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
06QI-0078,06QI-0078,INSP-ENTRADA,THD. RING 1/4-48 UNS,GA.CO,FALSE,nan,nan,1/4-48 2A,11/1/2022,11/30/2023,nan,,10/10/2010,TRUE,SUP. INSP-ENTRA,ACTIVO,EXT-LAB
